species,copper_mm,n_colonies,chroma_median,hue_weighted_mean_deg,hue_concentration_R,L_median
Rhodotorula dairenensis,0.0,157,9.943176717401316,35.49142032202172,0.9781584849370993,75.54623516988245
Rhodotorula dairenensis,5.0,154,12.660597287122561,50.96426517856624,0.9937529459167318,72.46446249088852
Rhodotorula dairenensis,10.0,144,12.262114533265851,51.46354005525807,0.9586046422521961,71.1597428454516
Rhodotorula dairenensis,15.0,150,12.025710835150964,54.175619423936226,0.9835850111819283,70.15700458648064
Rhodotorula dairenensis,20.0,147,11.210090156968024,63.059103526661104,0.9824003799674182,69.56984452129048
Rhodotorula dairenensis,25.0,145,10.127641191685369,69.42385948525323,0.9805328235263003,69.57379195227247
Rhodotorula dairenensis,30.0,147,7.173815760973558,69.92674624689737,0.984125358118968,68.64529821113301
Rhodotorula diobovata,0.0,175,8.365292575219819,27.459983769840985,0.9872902710837008,76.37002372740042
Rhodotorula diobovata,5.0,171,12.533266933342512,52.210356261438534,0.979779004119205,72.96854741870891
Rhodotorula diobovata,10.0,162,10.50142233899227,51.53344889143536,0.9798168096114608,71.61959379505257
Rhodotorula diobovata,15.0,165,8.575700589172591,47.859638829002805,0.8399835288237745,70.95439971239547
Rhodotorula diobovata,20.0,146,7.1018318739363515,50.547388022831875,0.7578949023725957,70.30473393582193
Rhodotorula diobovata,25.0,134,5.906919556564404,46.51306107652795,0.6045068247280384,69.9633657250995
Rhodotorula diobovata,30.0,133,3.9366665578483455,27.337229859691323,0.21151663433394052,68.76237891595324
Rhodotorula graminis,0.0,30,6.883415447465159,32.03517455445937,0.9395785130391363,77.1724580232541
Rhodotorula graminis,10.0,40,7.82797112756041,48.9582275777377,0.94982407248932,73.2506224076429
Rhodotorula graminis,15.0,40,6.551768820928146,56.3261864314897,0.867467933176681,71.83317679303525
Rhodotorula graminis,20.0,37,7.083817690905811,46.34276433535079,0.7949483278424335,71.74271472315186
Rhodotorula graminis,25.0,45,4.832310445828181,37.219018223303024,0.6144710620607524,71.46058272021193
Rhodotorula kratochvilovae,0.0,60,6.99548963516105,53.54924699905736,0.9962708280503876,76.50729523895032
Rhodotorula kratochvilovae,5.0,60,11.62334776009388,65.09965409285182,0.9727554309390095,72.57754626887993
Rhodotorula kratochvilovae,10.0,43,10.078185244434197,72.011929157283,0.9218916066910215,70.41258876919757
Rhodotorula kratochvilovae,15.0,45,4.775375358999436,94.89228225846347,0.9911864243944792,69.78410215454981
Rhodotorula mucilaginosa,0.0,4236,10.168833600793938,16.47212193547436,0.987369831767926,74.86367370875263
Rhodotorula mucilaginosa,5.0,4169,12.2666679802365,40.03847034286761,0.9897102142734155,71.36023012871416
Rhodotorula mucilaginosa,10.0,3930,10.867046391252572,43.09535984972032,0.9831739932263056,70.9814005812018
Rhodotorula mucilaginosa,15.0,4030,9.793391640015155,44.899533209896376,0.9736090042054992,70.38088797039754
Rhodotorula mucilaginosa,20.0,3963,8.358601158202307,49.966539548272586,0.965508234143469,70.16064236494648
Rhodotorula mucilaginosa,25.0,3888,7.3587943051562625,52.927544317460644,0.9458184129252567,69.84994319549074
Rhodotorula mucilaginosa,30.0,3967,5.8915158751182695,56.804512758682584,0.8730729614940396,68.82538024953364
Rhodotorula pacifica,0.0,60,10.266300844732353,11.903649848706474,0.9896008458996702,75.09273024629724
Rhodotorula pacifica,5.0,59,11.776440209890826,38.04378993641192,0.9986328985091638,71.95386123425979
Rhodotorula pacifica,10.0,60,11.045627305852296,45.50484925126673,0.9819655460197091,70.58804115342863
Rhodotorula pacifica,15.0,60,10.187584647400719,44.734333164383784,0.9855928466151652,70.29239707525835
Rhodotorula pacifica,20.0,59,8.754705601866663,46.88442904272355,0.9937943183783482,69.95956371641859
Rhodotorula pacifica,25.0,55,8.408096067490732,53.61302128548373,0.9891815158578727,69.57929572000238
Rhodotorula pacifica,30.0,57,6.5417732322788815,60.916271290275574,0.9682855614228171,69.04717615882115
Rhodotorula paludigena,0.0,165,9.023802792643082,24.325227494000693,0.9769817406155209,74.17302411259527
Rhodotorula paludigena,5.0,156,12.224491445944214,44.156669307302906,0.9873221599152736,70.94248855789976
Rhodotorula paludigena,10.0,152,10.373374570689144,47.15358709494686,0.9790874248674516,71.02010942242447
Rhodotorula paludigena,15.0,155,8.961975631941836,51.64754146225675,0.9258579471948466,70.35106779238814
Rhodotorula paludigena,20.0,159,7.172048384551389,59.49676470742958,0.9452728529251025,70.21306657787508
Rhodotorula paludigena,25.0,160,5.789206047774725,60.998548119758766,0.9304221441085563,69.58846065452818
Rhodotorula paludigena,30.0,143,4.720419222481263,65.5947061381069,0.7320998457159745,68.20615985256956
Rhodotorula sp. clade I,0.0,115,10.730867812668098,18.088561363626074,0.9635194153942784,75.34023625347916
Rhodotorula sp. clade I,5.0,110,13.01896687649305,40.03133368642486,0.988999536324891,71.51958580413387
Rhodotorula sp. clade I,10.0,109,11.242348340717228,40.97419500483213,0.881202116833184,69.92733980966852
Rhodotorula sp. clade I,15.0,105,10.116362759306211,41.796478904222745,0.8979493861509017,69.9219435614891
Rhodotorula sp. clade I,20.0,89,7.785219003436966,45.23963160944627,0.8257473974558894,70.12812579334003
Rhodotorula sp. clade I,25.0,85,6.1654858703425495,46.968970301473036,0.7408836754463051,69.57635171376384
Rhodotorula sp. clade I,30.0,90,4.818330550623495,52.974218180901744,0.7774994498378989,69.04475449419279
Rhodotorula sp. clade XI,0.0,40,5.475512272332471,16.839726285904405,0.9908519304224355,76.45046532954922
