strain_code,chroma,sat,bright,clone_mean_area,n_plate,AUC_0,AUC_10,AUC_20,AUC_30,AUC_ratio_10,resilience_30,cu_dose_slope,cu_dose_r2,n_cu,IC50_est
DBVPG_10619,12.973891425951987,0.3326801271797442,0.6297770275425345,4.550437803751578,4.0,1995255.0,1374218.25,1288434.0,635906.25,0.688743168166475,0.318709262725817,-0.041861982337008524,0.8663062245333498,7,23.358780437474206
DBVPG_10780,13.445372270805287,0.33787613905234704,0.6477111467154956,4.5398034973846775,4.0,2111041.5,926965.0,1354578.0,975790.5,0.4391031630595609,0.4622317941167902,-0.02641714952990781,0.6150018788490211,7,24.032967399090438
DBVPG_10842,8.199084025648574,0.20991245439984915,0.6195782787823301,4.504475959817579,4.0,1777779.0,1620879.0,1902663.75,1133069.25,0.9117438106761302,0.6373510149461772,-0.0071960715692951935,0.23935453932086004,7,
DBVPG_10882,9.938460161979908,0.2534820252311454,0.6341010528725108,4.214131577440768,4.0,1047971.25,1316531.25,1099689.0,640266.75,1.2562665721984263,0.6109583158889139,0.011422105261282199,0.05475274983318199,7,3.7648888224608523
DBVPG_10886,12.341361028698195,0.2948112587235739,0.68784046692607,4.332370280430381,4.0,1306530.0,1334394.75,1206816.75,1150557.0,1.0213272944364078,0.8806204220339372,-0.010799720891270504,0.46364368526823513,7,
DBVPG_10937,13.125981837111606,0.3324225237493942,0.6413576714732586,4.657787032770797,4.0,2614471.5,2334283.5,1612587.75,635899.5,0.8928318782591433,0.24322296112235303,-0.04796358731576809,0.8095444694374943,7,23.736244268445184
DBVPG_3044,8.774485663969275,0.2460692000114555,0.5728427557793546,4.5194495159889465,3.0,1781183.0,1850754.0,1647042.0,330979.0,1.039058872670579,0.18581976136084838,-0.01016625111918698,0.18112605553174022,7,
DBVPG_3045,6.545754692270943,0.19188158376219636,0.564810788128481,4.427901784398795,4.0,1454478.0,1740859.5,1371423.75,256260.75,1.1968964123211214,0.17618743631735923,-0.05481849234204843,0.6598957421529762,7,24.841217555933635
DBVPG_3090,13.44191496712958,0.34231908712395176,0.6416733424887464,4.562884410733228,4.0,2054952.75,2408550.75,1904097.75,1298714.25,1.1720711096642003,0.6319922684353692,-0.01784862380314721,0.7077598874848045,7,
DBVPG_3235,7.015006789522636,0.19418021369260938,0.6087624933241779,4.531850782109114,4.0,1936299.75,2221170.75,1660068.0,735134.25,1.1471213328411576,0.379659321858612,-0.033962322675954976,0.7264600789345844,7,27.174788064882183
