species,n_strains,median_slope_raw,raw_ci_lo,raw_ci_hi,pct_positive_raw,wilcoxon_raw_p,median_slope_controlled,partial_ci_lo,partial_ci_hi,pct_positive_controlled,wilcoxon_partial_p
Rhodotorula dairenensis,9,0.0026299514697196223,0.0005037740938574555,0.0041929090074025776,88.88888888888889,0.01953125,-0.0007440183224936873,-0.014417924486235183,0.0020223709346590753,44.44444444444444,0.30078125
Rhodotorula diobovata,10,0.007926436459765152,-0.00634181823696053,0.025396266269449498,70.0,0.16015625,0.005736038327502347,-0.007602428056298259,0.03205911480433501,70.0,0.275390625
Rhodotorula mucilaginosa,216,0.0032115733278740054,0.0023328653490688103,0.003914526101420198,81.01851851851852,1.5999391199263415e-19,0.00024822440080802215,-0.00017995966773700744,0.0006105717056517548,54.629629629629626,0.22741005408740644
Rhodotorula paludigena,12,-0.019650337676882387,-0.03112290250983159,-0.00404265617617409,16.666666666666664,0.0048828125,-0.02464451294559076,-0.03350660146459976,-0.010619551191429067,8.333333333333332,0.0009765625
Rhodotorula sp. clade I,7,0.005295966105580769,-0.019423109067367578,0.019446584370806416,57.14285714285714,0.8125,-0.0026921822823200224,-0.022596735263894552,0.003017135407003378,42.857142857142854,0.6875
Rhodotorula sphaerocarpa,8,0.0023859252957509794,-0.006021883526938939,0.009291891174998372,50.0,0.7421875,0.0030943448353750918,-0.015634008845425044,0.01293268089948275,75.0,0.640625
Rhodotorula taiwanensis,6,0.01824614484365048,0.006987492650798559,0.02255358972636209,100.0,0.03125,0.013648579082531169,0.007507023461673796,0.04634661599514907,100.0,0.03125
Rhodotorula toruloides,10,0.0022668424172793975,-0.008929483406638914,0.016486473087647086,70.0,0.4921875,0.00536522222574821,-0.005322948991619855,0.01629216108980744,70.0,0.275390625
