strain_id,species,copper_mm,n_wells,sd_log10_asat,median_asat
10.0,Rhodotorula sphaerocarpa,25.0,4,1.1758039480199898,14027.275
10.0,Rhodotorula sphaerocarpa,30.0,4,0.7126390859725414,7622.45
11.0,Rhodotorula mucilaginosa,0.0,4,0.31208556085149897,29902.25
11.0,Rhodotorula mucilaginosa,5.0,4,0.11653267597329786,49986.875
11.0,Rhodotorula mucilaginosa,10.0,4,0.18530129568789827,37300.25
11.0,Rhodotorula mucilaginosa,15.0,4,0.15506089734225154,37518.299999999996
11.0,Rhodotorula mucilaginosa,20.0,4,0.30436746765335754,52552.649999999994
11.0,Rhodotorula mucilaginosa,25.0,4,0.23385739435420916,36342.84999999999
11.0,Rhodotorula mucilaginosa,30.0,4,0.2382486047810951,28423.25
12.0,Rhodotorula mucilaginosa,0.0,4,0.1798157977406669,32668.9
12.0,Rhodotorula mucilaginosa,5.0,4,0.053138922786075383,43722.125
12.0,Rhodotorula mucilaginosa,10.0,4,0.04012738596848086,36150.125
12.0,Rhodotorula mucilaginosa,15.0,4,0.046950217250294,39216.225000000006
12.0,Rhodotorula mucilaginosa,20.0,4,0.09109725653099589,33675.25
12.0,Rhodotorula mucilaginosa,25.0,4,0.20380961385730717,34593.5
12.0,Rhodotorula mucilaginosa,30.0,4,0.39833995927680776,30072.45
13.0,Rhodotorula mucilaginosa,0.0,4,0.14358004931027446,27977.324999999997
13.0,Rhodotorula mucilaginosa,5.0,4,0.09520835443931219,39058.15
13.0,Rhodotorula mucilaginosa,10.0,4,0.06793817064971963,36910.225
13.0,Rhodotorula mucilaginosa,15.0,4,0.08829941680923396,36319.975
13.0,Rhodotorula mucilaginosa,20.0,4,0.10308515277204168,26672.25
13.0,Rhodotorula mucilaginosa,25.0,4,0.19574152063153805,27268.274999999998
13.0,Rhodotorula mucilaginosa,30.0,4,0.5419126809825937,34411.875
14.0,Rhodotorula mucilaginosa,0.0,4,0.14977249048993038,27618.65
14.0,Rhodotorula mucilaginosa,5.0,4,0.11018445419887937,30592.575
14.0,Rhodotorula mucilaginosa,10.0,4,0.05776438020270805,29536.425000000003
14.0,Rhodotorula mucilaginosa,15.0,4,0.06061022291606076,27936.625
14.0,Rhodotorula mucilaginosa,20.0,4,0.11269640018992337,25649.649999999998
14.0,Rhodotorula mucilaginosa,25.0,4,0.19586460250013904,26025.425
14.0,Rhodotorula mucilaginosa,30.0,4,0.12980176152711317,22152.1
15.0,Rhodotorula mucilaginosa,0.0,4,0.15549803527628717,36959.575
15.0,Rhodotorula mucilaginosa,5.0,4,0.10579910937223806,48163.0
15.0,Rhodotorula mucilaginosa,10.0,4,0.1216517236889236,45532.675
15.0,Rhodotorula mucilaginosa,15.0,4,0.08528864595545094,41912.975
15.0,Rhodotorula mucilaginosa,20.0,4,0.07996130544951337,29993.725
15.0,Rhodotorula mucilaginosa,25.0,4,0.062182034259479,21967.525
15.0,Rhodotorula mucilaginosa,30.0,4,0.1393915145354974,10828.099999999999
16.0,Rhodotorula sp. clade XI,0.0,4,0.13458302273779071,33963.4
16.0,Rhodotorula sp. clade XI,5.0,4,0.07032390977260132,34836.225000000006
16.0,Rhodotorula sp. clade XI,10.0,4,0.0665142491172194,30951.475000000002
16.0,Rhodotorula sp. clade XI,15.0,4,0.07857715383583791,31058.574999999997
16.0,Rhodotorula sp. clade XI,20.0,4,0.11296014645561357,29220.824999999997
16.0,Rhodotorula sp. clade XI,25.0,4,0.15015749713415502,24216.85
16.0,Rhodotorula sp. clade XI,30.0,4,0.29706449482684666,16788.075
17.0,Rhodotorula diobovata,0.0,4,0.09669864279137139,30086.825
17.0,Rhodotorula diobovata,5.0,4,0.09668196595238021,41446.950000000004
17.0,Rhodotorula diobovata,10.0,4,0.27076755426021015,29132.9
17.0,Rhodotorula diobovata,15.0,4,0.5893349847585709,20343.149999999998
17.0,Rhodotorula diobovata,20.0,4,0.6114677582175767,15799.750000000002
17.0,Rhodotorula diobovata,25.0,4,0.694090150260928,10208.300000000001
17.0,Rhodotorula diobovata,30.0,4,0.6204577412662614,5688.525000000006
18.0,Rhodotorula mucilaginosa,0.0,4,0.1450510668546257,33634.875
18.0,Rhodotorula mucilaginosa,5.0,4,0.0877175565118986,42923.450000000004
18.0,Rhodotorula mucilaginosa,10.0,4,0.0782775945569434,37118.025
18.0,Rhodotorula mucilaginosa,15.0,4,0.08589409113587163,32038.75
18.0,Rhodotorula mucilaginosa,20.0,4,0.15630740006720373,22710.699999999997
18.0,Rhodotorula mucilaginosa,25.0,4,0.2541201800324338,18365.7
18.0,Rhodotorula mucilaginosa,30.0,4,0.1548278817401726,9993.675000000001
19.0,Rhodotorula mucilaginosa,0.0,4,0.0757325957321136,36264.65
19.0,Rhodotorula mucilaginosa,5.0,4,0.06573180157304344,43217.625
19.0,Rhodotorula mucilaginosa,10.0,4,0.04104840865149206,37474.275
19.0,Rhodotorula mucilaginosa,15.0,4,0.08686212539893055,33504.5
19.0,Rhodotorula mucilaginosa,20.0,4,0.058047219736455775,31359.350000000002
19.0,Rhodotorula mucilaginosa,25.0,4,0.09260154178069682,27048.899999999998
19.0,Rhodotorula mucilaginosa,30.0,4,0.27297955879505054,19734.350000000002
20.0,Rhodotorula mucilaginosa,0.0,4,0.8945778393397092,27978.649999999998
20.0,Rhodotorula mucilaginosa,5.0,4,0.8899806777877105,36990.0
20.0,Rhodotorula mucilaginosa,10.0,4,1.0215234358692145,35814.575
20.0,Rhodotorula mucilaginosa,15.0,4,0.8968165629885594,31574.949999999997
20.0,Rhodotorula mucilaginosa,20.0,4,0.3898659799300189,25499.249999999996
20.0,Rhodotorula mucilaginosa,25.0,4,0.6547028622931449,16911.95
20.0,Rhodotorula mucilaginosa,30.0,4,0.21636937051532698,9974.75
21.0,Rhodotorula mucilaginosa,0.0,3,0.13112074428905932,29295.899999999994
21.0,Rhodotorula mucilaginosa,5.0,4,0.7721022902767171,39560.299999999996
21.0,Rhodotorula mucilaginosa,10.0,4,0.7655835028010451,33063.425
21.0,Rhodotorula mucilaginosa,15.0,4,0.6995621092569878,28696.5
21.0,Rhodotorula mucilaginosa,20.0,4,0.4714160474249084,21278.85
21.0,Rhodotorula mucilaginosa,25.0,4,0.24299457609983033,13106.550000000001
21.0,Rhodotorula mucilaginosa,30.0,4,0.4453625743196906,5679.525
22.0,Rhodotorula mucilaginosa,0.0,4,0.06830741699142762,22561.45
22.0,Rhodotorula mucilaginosa,5.0,4,0.10992320784113409,31040.300000000003
22.0,Rhodotorula mucilaginosa,10.0,4,0.11427124473598026,29320.975000000006
22.0,Rhodotorula mucilaginosa,15.0,4,0.23658770140608293,27682.699999999997
22.0,Rhodotorula mucilaginosa,20.0,4,0.1444077150079186,21541.599999999995
22.0,Rhodotorula mucilaginosa,25.0,4,0.31721058573357325,19698.225
22.0,Rhodotorula mucilaginosa,30.0,4,0.5157648255885886,13617.900000000001
23.0,Rhodotorula mucilaginosa,0.0,2,1.0842636755964556,17446.300000000003
23.0,Rhodotorula mucilaginosa,5.0,2,1.6195216485980752,24027.325
23.0,Rhodotorula mucilaginosa,10.0,3,1.3239104508748432,2975.3999999999996
23.0,Rhodotorula mucilaginosa,15.0,4,1.2189803031924318,4520.249999999916
23.0,Rhodotorula mucilaginosa,20.0,4,1.1212712683237733,16558.662500000002
23.0,Rhodotorula mucilaginosa,25.0,4,1.1422576605934336,4671.549999999999
23.0,Rhodotorula mucilaginosa,30.0,4,1.0603692601476393,647.65
24.0,Rhodotorula mucilaginosa,0.0,4,0.10415330864040348,36348.175
24.0,Rhodotorula mucilaginosa,5.0,4,0.06970763298526678,46474.77500000001
24.0,Rhodotorula mucilaginosa,10.0,4,0.10212698567627002,40733.700000000004
24.0,Rhodotorula mucilaginosa,15.0,4,0.08689761519734582,49732.02500000001
24.0,Rhodotorula mucilaginosa,20.0,4,0.15678473887732347,37712.79999999999
24.0,Rhodotorula mucilaginosa,25.0,4,0.14505549460356965,37483.425
24.0,Rhodotorula mucilaginosa,30.0,4,0.20708950669690807,31404.625
25.0,Rhodotorula mucilaginosa,0.0,4,0.7100422526633493,22102.850000000002
25.0,Rhodotorula mucilaginosa,5.0,4,0.7554808281689338,34836.325000000004
25.0,Rhodotorula mucilaginosa,10.0,4,0.6563380030105364,33427.475000000006
25.0,Rhodotorula mucilaginosa,15.0,4,0.7592989899764566,28673.75
25.0,Rhodotorula mucilaginosa,20.0,4,0.555832836202569,26463.275
25.0,Rhodotorula mucilaginosa,25.0,4,0.7157850396859337,25613.749999999993
25.0,Rhodotorula mucilaginosa,30.0,4,0.9361838080175885,20547.1
26.0,Rhodotorula mucilaginosa,0.0,4,0.044992742611739675,29707.675000000003
26.0,Rhodotorula mucilaginosa,5.0,4,0.025165874745852315,35859.625
26.0,Rhodotorula mucilaginosa,10.0,4,0.02026574419074534,33709.3
26.0,Rhodotorula mucilaginosa,15.0,4,0.02857252743440541,30310.625
26.0,Rhodotorula mucilaginosa,20.0,4,0.10325864905558421,31644.475
26.0,Rhodotorula mucilaginosa,25.0,4,0.2024259647794408,29606.649999999994
26.0,Rhodotorula mucilaginosa,30.0,4,0.3118381069691432,26203.525
27.0,Rhodotorula mucilaginosa,0.0,4,0.2133693497832087,27941.25
