trait,n_strains,n_species,ss_total,ss_between,ss_within,frac_between,frac_within,eta2_between,F,sd_total,sd_within_mean,within_sd_as_pct_of_total
slope_logchroma_per_mM,300,11,0.049057660553787616,0.00641557884702627,0.04264208170676134,0.13077629007588173,0.8692237099241182,0.13077629007588173,4.348057628942175,0.012809076599181707,0.012147034853524469,94.8314639191124
intercept_logchroma,300,11,13.66881452302558,1.123244690277011,12.54556983274857,0.08217572111940413,0.9178242788805959,0.08217572111940413,2.5875087366911314,0.213810894809446,0.20835132886037544,97.44654454866003
l10med_fixed,293,11,26.591672000395924,10.19460198694553,16.397070013450396,0.3833757421042852,0.6166242578957148,0.3833757421042852,17.53287482434605,0.30177370638339185,0.24113406716092353,79.90559219051775
partial_slope_sd_cu,293,11,0.09760086573408733,0.03245793677731031,0.06514292895677701,0.33255787777274093,0.667442122227259,0.33255787777274093,14.050854509895784,0.018282492723510943,0.015198792523518705,83.13304292457528
pace_loglog,301,12,14.175341424604598,2.3184011260566835,11.856940298547915,0.1635516956249505,0.8364483043750496,0.1635516956249505,5.137136475346056,0.21737326901441983,0.2025524008287255,93.18183498233577
