feature,ms_strain,ms_well,ms_colony,icc_strain,icc_well,icc_colony
Shape_Circularity,0.17693672136585456,0.01219161229815053,0.0008908423349619129,0.931096200924048,0.06386899155784544,0.005034807518106462
Shape_Compactness,8.695859977943822,0.8198470826461143,0.0381869560876751,0.9057198385524176,0.08988876644070187,0.004391395006880572
Shape_Solidity,3550.6962103998408,492.49770330192035,9.832331979182625,0.8612954547169045,0.13593541737224127,0.0027691279108542533
Shape_Area,4077241593.992017,574749401.9921577,15160894.92277695,0.8590347447551122,0.13724683567781645,0.003718419567071314
Shape_Extent,0.02668220738092983,0.004136329180144311,8.845106760859994e-05,0.8449779989679337,0.1517070178919601,0.0033149831401062127
ColorHSV_SaturationMedian,0.1261489794689131,0.019710051810214783,0.00015680488788146277,0.8437557569375982,0.15500122953552573,0.0012430135268760077
Colorxy_xMedian,0.0020286847251593148,0.00034554276155212546,2.548730383104027e-06,0.8296715318714741,0.16907212190996593,0.0012563462185598469
ColorLab_a*Median,190.14482176624009,34.72670848318589,0.18907050870810793,0.8173670565382098,0.18163859343452227,0.0009943500272678847
ColorLab_ChromaEstimatedMedian,170.59545700339453,31.44150210639478,0.22848018249677063,0.8156955486465906,0.1829651414649156,0.001339309888493832
ColorLab_b*Median,160.01293751883927,30.23946850921037,0.21667886586740262,0.8110186027573545,0.18762726382551534,0.0013541334171300473
Colorxy_yMedian,0.0007267839303661079,0.00014212166602979058,9.95404586162514e-07,0.8044512817472468,0.19417911644322897,0.0013696018095241758
TextureGray_Entropy-avg-scale05,3.391268119616485,0.6637337178570104,0.005920043399850482,0.8042815565016218,0.1939727710268899,0.0017456724714883275
TextureGray_Contrast-avg-scale05,4.710288212982124,0.9222694170899786,0.011000836850017912,0.8042010646932193,0.19346344406875024,0.002335491238030462
Intensity_CoefficientVarianceIntensity,0.005062730836092846,0.0013263085137058574,1.1256100762742529e-05,0.7380250784318937,0.2597515956345024,0.0022233259336041276
ColorLab_L*CoeffVar,0.0009500573301723056,0.0002538408446944236,2.098148611541098e-06,0.7328152347938981,0.2649763209944663,0.002208444211635703
ColorLab_L*Median,82.76033891305835,23.505912363246924,0.08354339932193246,0.7159761224764869,0.2830144157400169,0.00100946178349628
Intensity_MeanIntensity,0.013435698751255075,0.0047484559684656275,1.4512923974190017e-05,0.646579157781276,0.35234066587338625,0.0010801763453377753
ColorHSV_SaturationCoeffVar,0.1435181821368668,0.05504463270495422,0.0004963323844265004,0.6164623054348566,0.380079370490545,0.003458324074598232
ColorLab_a*CoeffVar,3677.837873748701,2988.6926984361908,2928.3494027605975,0.18737780156961809,0.016407274531132957,0.796214923899249
ColorLab_b*CoeffVar,375.7284940200978,398.91660923249685,403.93090034768085,0.0,0.0,1.075060600344233
