trait,sd_total,frac_variance_within_species,sd_within_species,icc_repeatability_ub,detectable_R2_at_eff150_genomewide,detectable_frac_of_genetic_var_assuming_h2=ICC,detectable_beta_SD_units_MAF0.3,detectable_beta_trait_units
colony_size_log10px,0.302,0.62,0.2377950377951567,0.86,0.20886488658330565,0.2428661471898903,0.7051931288717089,0.16769142673293283
colony_size_log10px_within,0.238,1.0,0.238,0.86,0.20886488658330565,0.2428661471898903,0.7051931288717089,0.16783596467146672
baseline_chroma_log10,0.214,0.92,0.2052615891977844,0.82,0.20886488658330565,0.25471327632110446,0.7051931288717089,0.14474906232356494
copper_slope_per_mM,0.0128,0.87,0.011939045187953683,0.19,0.20886488658330565,1.0992888767542404,0.7051931288717089,0.008419332631833778
heterogeneity,0.0183,0.67,0.014979195572526584,0.93,0.20886488658330565,0.22458589955194155,0.7051931288717089,0.010563225793771272
pace_loglog,0.217,0.84,0.19888378516108346,0.82,0.20886488658330565,0.25471327632110446,0.7051931288717089,0.1402514787395932
