species,n,partial_rho_sd_cu_ctl_size,partial_rank_p
Rhodotorula dairenensis,63,-0.2140012796752897,0.08785572614739068
Rhodotorula diobovata,69,0.16409229868711742,0.25254876743092913
Rhodotorula mucilaginosa,1508,-0.04258906151924397,0.10866387480750905
Rhodotorula paludigena,89,-0.4809375707216939,9.083888906748043e-06
Rhodotorula sp. clade I,53,-0.19043081651132382,0.11572758955636776
Rhodotorula sphaerocarpa,54,-0.13967548583253714,0.3468397036222056
Rhodotorula taiwanensis,42,0.47165565154639244,0.011758500591444407
Rhodotorula toruloides,70,-0.11437815241410101,0.4241253713495172
