chroma_threshold,frac_ever_pigment,median_t_onset_h,spearman_capture_onset,p,n_pig
2.0,0.9956369982547993,0.0,0.31529702643880375,9.42035739416012e-28,1141
3.0,0.9834205933682374,12.0,0.3471549835912898,2.8908918685726046e-33,1127
5.0,0.9598603839441536,30.0,0.408900262537955,1.3963551795064699e-45,1100
7.0,0.9109947643979057,48.0,0.41881640964804373,1.3481799171791532e-45,1044
10.0,0.6919720767888308,84.0,0.3037952076439279,2.151301260693254e-18,793
