trait,feature,n_strains,F_raw,p_raw,p_species_stratified,eta2
b_cv,ColorLab_b*CoeffVar,304,4.674182407788301,0.001999000499750125,0.005997001499250375,0.058850872191413946
L_median,ColorLab_L*Median,304,2.755544422758306,0.033483258370814596,0.026986506746626688,0.035552868420974285
area,Shape_Area,304,1.9202895524614199,0.09995002498750624,0.4012993503248376,0.025046071479193622
tex_entropy,TextureGray_Entropy-avg-scale05,304,1.147671406427426,0.3218390804597701,0.4097951024487756,0.015121299312092511
chroma,ColorLab_ChromaEstimatedMedian,304,0.45918784171545246,0.7746126936531734,0.6931534232883558,0.006105475340085502
a_median,ColorLab_a*Median,304,0.45190265411123054,0.7861069465267366,0.8170914542728636,0.006009191764598571
