strain_id,well,cu,species,t_capture_h,t_onset_h,max_area,max_chroma,n_tp
3.0,4,5.0,Rhodotorula mucilaginosa,39.0,39.0,38889.0,13.932393579642603,20
3.0,4,10.0,Rhodotorula mucilaginosa,39.0,0.0,37565.0,12.775927873403678,20
3.0,4,15.0,Rhodotorula mucilaginosa,39.0,0.0,35850.0,15.225546578134333,21
3.0,4,20.0,Rhodotorula mucilaginosa,33.0,0.0,33856.0,15.99003481435524,22
3.0,4,25.0,Rhodotorula mucilaginosa,33.0,0.0,31621.0,16.287683071175913,20
3.0,4,30.0,Rhodotorula mucilaginosa,15.0,0.0,25844.0,17.08034953758641,24
3.0,12,0.0,Rhodotorula mucilaginosa,51.0,63.0,24952.0,10.36413500726812,20
3.0,12,5.0,Rhodotorula mucilaginosa,45.0,0.0,36930.0,12.023627119118718,21
3.0,12,10.0,Rhodotorula mucilaginosa,45.0,0.0,33375.0,11.289621757481536,20
3.0,12,15.0,Rhodotorula mucilaginosa,45.0,0.0,27624.0,16.205853898897196,21
3.0,12,20.0,Rhodotorula mucilaginosa,0.0,0.0,124411.5,16.631899187212525,20
3.0,12,25.0,Rhodotorula mucilaginosa,45.0,0.0,23337.0,17.32765959700317,30
3.0,12,30.0,Rhodotorula mucilaginosa,15.0,9.0,16907.0,17.065586922492407,22
3.0,73,0.0,Rhodotorula mucilaginosa,33.0,45.0,34752.0,11.072588245055854,19
3.0,73,5.0,Rhodotorula mucilaginosa,39.0,39.0,39925.0,12.952427040606878,19
3.0,73,10.0,Rhodotorula mucilaginosa,45.0,3.0,34494.0,11.689353420475316,19
3.0,73,15.0,Rhodotorula mucilaginosa,33.0,9.0,36003.0,11.765565816980422,18
3.0,73,20.0,Rhodotorula mucilaginosa,33.0,0.0,34951.0,17.261402929443733,19
3.0,73,25.0,Rhodotorula mucilaginosa,33.0,0.0,31742.0,17.156174387076643,27
3.0,73,30.0,Rhodotorula mucilaginosa,24.0,0.0,31455.0,17.209818716219946,34
3.0,83,0.0,Rhodotorula mucilaginosa,0.0,,1224.5,2.2931302144019283,20
3.0,83,5.0,Rhodotorula mucilaginosa,0.0,,1610.5,5.170164935965303,20
3.0,83,10.0,Rhodotorula mucilaginosa,0.0,0.0,2702.0,8.66729155800427,6
3.0,83,15.0,Rhodotorula mucilaginosa,0.0,0.0,3003.0,15.720462573763069,22
3.0,83,20.0,Rhodotorula mucilaginosa,9.0,0.0,2842.0,15.59532731590618,10
3.0,83,25.0,Rhodotorula mucilaginosa,9.0,0.0,1653.5,17.01265199102466,17
3.0,83,30.0,Rhodotorula mucilaginosa,0.0,0.0,3462.0,16.884316047219258,6
4.0,5,0.0,Rhodotorula mucilaginosa,33.0,45.0,30378.0,11.407945220960372,20
4.0,5,5.0,Rhodotorula mucilaginosa,33.0,39.0,34491.0,14.289000148710215,20
4.0,5,10.0,Rhodotorula mucilaginosa,33.0,0.0,32739.0,11.99692582617716,20
4.0,5,15.0,Rhodotorula mucilaginosa,33.0,0.0,31148.0,11.777806802294537,20
4.0,5,20.0,Rhodotorula mucilaginosa,33.0,0.0,30385.0,17.24820601118821,21
4.0,5,25.0,Rhodotorula mucilaginosa,9.0,0.0,30295.0,16.631316562324372,20
4.0,5,30.0,Rhodotorula mucilaginosa,33.0,0.0,24450.0,17.14004084563001,22
4.0,14,0.0,Rhodotorula mucilaginosa,33.0,63.0,51994.0,9.189131764548668,20
4.0,14,5.0,Rhodotorula mucilaginosa,27.0,39.0,53564.0,11.811104959668898,20
4.0,14,10.0,Rhodotorula mucilaginosa,33.0,0.0,46342.0,12.439032366139893,20
4.0,14,15.0,Rhodotorula mucilaginosa,33.0,0.0,43475.0,15.80780819049948,21
4.0,14,20.0,Rhodotorula mucilaginosa,39.0,0.0,28157.0,17.366783203648367,29
4.0,14,25.0,Rhodotorula mucilaginosa,27.0,0.0,16402.0,17.325992264657685,52
4.0,14,30.0,Rhodotorula mucilaginosa,30.0,0.0,8751.0,17.249431581695514,31
4.0,35,0.0,Rhodotorula mucilaginosa,33.0,33.0,37999.0,14.61695205779682,20
4.0,35,5.0,Rhodotorula mucilaginosa,33.0,39.0,48143.0,13.471883380669809,21
4.0,35,10.0,Rhodotorula mucilaginosa,39.0,0.0,37664.0,10.351081965136126,20
4.0,35,15.0,Rhodotorula mucilaginosa,45.0,0.0,21939.0,16.631703366654662,22
4.0,35,20.0,Rhodotorula mucilaginosa,45.0,0.0,17817.0,17.355903237581252,34
4.0,35,25.0,Rhodotorula mucilaginosa,45.0,0.0,12885.0,17.270973567842653,24
4.0,35,30.0,Rhodotorula mucilaginosa,0.0,0.0,1196.0,17.467638086177608,22
4.0,45,0.0,Rhodotorula mucilaginosa,15.0,39.0,46065.0,12.275786282311444,20
4.0,45,5.0,Rhodotorula mucilaginosa,15.0,33.0,50985.0,14.18861861310543,20
