feature,F1,F2,F3,F4,F5,F6,F7,F8,block
Shape_Area,0.24012681155696156,0.13449775559946622,-0.08411362167526097,0.042482412084585766,-0.006803731810004247,-0.011184296562028642,-0.0035991007265384852,-0.9353003967691548,shape
Shape_Perimeter,0.22353633593063954,0.14961084630433222,-0.059631483169055914,0.019475009481032042,-0.03924580042334532,-0.06904515498358631,-0.02041100922524502,-0.9248881089228378,shape
Shape_Compactness,-0.0031841560995003043,0.042447313288023356,0.2059895063217691,0.022907062051546908,-0.11264532422736058,-0.9292547132021052,-0.026693063340345,-0.017254068324877324,shape
Shape_Circularity,0.003248020344968371,-0.042604248364357784,-0.20584564916297074,-0.023232303001015805,0.11261464514097314,0.929301403713723,0.026593589543031457,0.017786723870304933,shape
Shape_Solidity,0.2231243951163807,0.11340373132246315,-0.09018575300447186,0.051078403896751334,-0.016700476673121335,0.03028122849143613,0.007016804257010546,-0.9550136684778632,shape
Shape_Extent,-0.0003657627788329104,-0.04369165503867354,-0.08318158101466246,0.21941423591798967,0.025490951886746115,0.653806571055834,0.16086975346103047,-0.30492729642468874,shape
Shape_Eccentricity,-0.13929684404453982,-0.05140031598695017,0.028604857095344993,-0.023038864634489554,-0.09729754243503085,-0.6521363594310502,-0.08700224288345655,0.3715146743808209,shape
Shape_MeanRadius,0.12810236503262007,-0.023907661066652687,-0.144553653514774,0.08312107139064065,-0.024559944056811233,0.1227750457571997,0.0945055825054369,-0.9436507452008525,shape
Shape_MaxRadius,0.13636208167295022,-0.026941921308763692,-0.13399247780256116,0.08140219133978364,-0.01504549342646766,0.136075723411346,0.09834297392645759,-0.9438714530187254,shape
Intensity_MeanIntensity,-0.35172008320949083,0.2134374218898467,0.08046061302718445,-0.04304729780948751,0.8687526966180943,0.10876952010068007,0.020810891500795677,0.018382158132832456,intensity
Intensity_MedianIntensity,-0.3216156607331598,0.20379072151304078,0.025815189215848605,0.05089120932281286,0.8969829914401863,0.09242761120074863,0.07445140840647904,0.0639706668399691,intensity
Intensity_CoefficientVarianceIntensity,-0.06439572268785286,0.9226771298664432,-0.2287211180812891,0.08290638114018775,0.11629258388950696,0.00044065504346415825,0.10188908840204364,-0.08715416212739101,intensity
ColorLab_L*Median,-0.3213939396235017,0.20388399250497982,0.025763009338447187,0.050810737822076166,0.8970814348549335,0.09224344814989072,0.074446970685904,0.06370959144628904,lab
ColorLab_L*CoeffVar,-0.07992715778367707,0.9104760511167587,-0.2243704539865347,0.10266397655688889,0.1461005878981946,3.9259700552607506e-05,0.11038713857941158,-0.07504820090141259,lab
ColorLab_a*Median,0.7471726254173522,0.034438995417512816,-0.1139165610571062,-0.2928422188219244,-0.15301514273536196,0.08035043370351794,0.379455439708017,-0.26794375919229935,lab
ColorLab_a*CoeffVar,-0.07218235170560026,0.0038234887107657786,0.05821464710014851,0.904558488376526,0.04243994539867884,-0.0771827743117713,-0.15667729307908768,-0.14191880949697153,lab
ColorLab_b*Median,0.7631323377967681,-0.09933101129788129,0.029953176994439282,0.10400517780490379,-0.21137557880818855,-0.0004269851455290672,-0.5077736309175235,-0.22725950075144735,lab
ColorLab_b*CoeffVar,-0.29839009665224525,0.34563469936992886,-0.16823729557510048,0.45913863745103295,-0.007233914443963527,0.37039760719867865,0.3831826882601647,-0.12550481980947867,lab
ColorLab_ChromaEstimatedMedian,0.8915731913489933,-0.08588876889680011,0.031215365440576355,-0.18404997450728666,-0.17240414622299877,0.02044339676886187,0.009198607215212408,-0.25951188545804843,lab
ColorHSV_HueMedian,-0.4823985113437181,-0.05117107645598139,0.07274857394450057,0.12716006371640212,-0.09795475507936587,0.009388163258453569,-0.736462437089558,0.1451640357257518,hsv
ColorHSV_HueStdDev,-0.12897552020065836,0.24016067257591864,-0.13082101156685133,0.11138637875228197,0.08802991422487967,0.19491164074792208,0.8198894518236782,-0.21895209892393805,hsv
ColorHSV_HueCoeffVar,0.5966239352127931,-0.02902686815537647,-0.22807247539107037,0.08969022174236735,-0.335588996152866,0.06618025684249108,0.27619430402450673,-0.3215369187657549,hsv
ColorHSV_SaturationMedian,0.9096938519160234,-0.053395103556221665,0.07532202806418999,-0.12281205594871686,-0.2397723965133607,-0.02178791550353137,-0.09504875790309986,-0.20632936054762308,hsv
ColorHSV_SaturationCoeffVar,-0.3797208121836482,0.14940419181486067,-0.034571986256638314,0.8196259300278367,-0.02697951552085336,0.12026075739203074,0.0393138833832944,-0.14046316972374814,hsv
ColorHSV_BrightnessMedian,0.4965946511382651,0.07483625656978875,-0.14394784258842125,-0.26855854301077814,0.5628234240054505,0.11524889713580501,0.3237211205389531,-0.28441379987475424,hsv
ColorHSV_BrightnessStdDev,0.2879437797123887,0.44710250595056933,-0.37328428269185754,0.11048877199237106,0.4689810826230297,0.006882491463476333,0.3651870875577614,-0.07334371908065862,hsv
Colorxy_xMedian,0.9205819278337645,-0.030497202723471388,0.06608979666504505,-0.09236174360568333,-0.23439866812749524,-0.01564200560425607,-0.043189062207621205,-0.20546115096475745,xy
Colorxy_yMedian,0.5204552774331962,-0.13193558107590386,0.004781886388461,0.2696165433781352,-0.16443536206377815,0.007816335265422669,-0.697769802619554,-0.18794231699120476,xy
TextureGray_Entropy-avg-scale05,-0.04423493753802713,0.9648393539868461,0.02762916048336745,-0.005875738897789204,0.12206445943202986,-0.027129163500652226,0.03516491440443693,-0.09849856298037236,texture
TextureGray_Contrast-avg-scale05,-0.06941427696568446,0.7160365299144501,0.5670716506719162,0.0734028498765198,0.20971495967231338,-0.10045396654308505,-0.04850555062596258,0.1835211913811978,texture
TextureGray_AngularSecondMoment-avg-scale05,-0.059771487685453505,-0.9330597858012996,-0.0012918230051734098,0.047101708554625234,-0.023805321688994904,0.01669924393422279,-0.08639576709116402,0.0992865161147286,texture
TextureGray_Correlation-avg-scale05,-0.09816875300290978,0.3504760647674813,-0.8199607822982921,0.02432325124872795,0.0481272046415891,0.28453798603859654,0.10702939155366929,-0.22712761073824717,texture
TextureGray_InfoCorrelation1-avg-scale05,0.0401398203715621,-0.23566829393158015,0.8601572241729813,0.004779133799106209,0.02856258915945799,-0.294977273784285,-0.061847525037113354,0.24436381102908986,texture
TextureGray_SumEntropy-avg-scale05,-0.060434207665025,0.881430606431714,-0.30339677935541076,-0.022432974487028964,0.13295261772473654,0.07949935408539577,0.10417125142221409,-0.14518243190417782,texture
TextureGray_DiffEntropy-avg-scale05,-0.07904291788615997,0.7060895318549568,0.5697918235030698,0.094116712045771,0.2319584522691116,-0.08253560420735317,-0.06097244422435534,0.15300497010529046,texture
