copper_mm,n_wells,pct_reached_half,median_t50,median_tau_h,weibull_k_median,weibull_k_ci_lo,weibull_k_ci_hi
0,1159,99.9137187230371,68.36067132676055,85.94465809095314,0.4538334973724457,0.44362890316588277,0.46392426730784625
5,1147,100.0,68.98773803994428,87.8616095127727,0.4571014293830765,0.441526476932567,0.46704096507512083
15,1094,99.81718464351006,67.24110682822622,89.21113490364024,0.4621316336254981,0.4486446449519207,0.47167734501925157
30,1055,99.90521327014218,65.23042870004237,91.46085981308413,0.44987894157523634,0.4376253269094209,0.46746494036432373
