strain_id,copper_mm,species,hue_wmean,chroma_median,n,morph
9.0,25.0,Rhodotorula mucilaginosa,47.91089942183577,7.120026481480599,20.0,0
9.0,30.0,Rhodotorula mucilaginosa,38.527080328463164,5.3150323311704675,20.0,0
10.0,0.0,Rhodotorula sphaerocarpa,24.827464618294787,11.5379001777236,10.0,1
10.0,5.0,Rhodotorula sphaerocarpa,48.53789544461913,11.956337618849616,15.0,0
10.0,10.0,Rhodotorula sphaerocarpa,38.917594076006445,11.068753649839593,16.0,0
10.0,15.0,Rhodotorula sphaerocarpa,36.97329619907983,9.585231413051236,15.0,0
10.0,20.0,Rhodotorula sphaerocarpa,47.907636494157636,9.052598694008335,10.0,0
10.0,25.0,Rhodotorula sphaerocarpa,50.57342603821343,8.411898476502229,10.0,0
10.0,30.0,Rhodotorula sphaerocarpa,32.733990256523875,5.539714353416803,10.0,0
11.0,0.0,Rhodotorula mucilaginosa,9.079070304327464,8.370636509704372,20.0,1
11.0,5.0,Rhodotorula mucilaginosa,40.243277891660426,10.187616761807138,20.0,0
11.0,10.0,Rhodotorula mucilaginosa,45.20782709122248,9.715175781776901,20.0,0
11.0,15.0,Rhodotorula mucilaginosa,47.47312487104587,9.731792869917953,20.0,0
11.0,20.0,Rhodotorula mucilaginosa,52.61013414715926,7.9946524306878475,20.0,0
11.0,25.0,Rhodotorula mucilaginosa,57.80683984566924,7.61988224276033,20.0,0
11.0,30.0,Rhodotorula mucilaginosa,70.51145359774489,6.65884590204932,20.0,0
12.0,0.0,Rhodotorula mucilaginosa,16.720385637019444,10.278326445281063,20.0,1
12.0,5.0,Rhodotorula mucilaginosa,41.38536487789444,12.213240689913368,20.0,0
12.0,10.0,Rhodotorula mucilaginosa,47.65968892355386,11.90287933062428,20.0,0
12.0,15.0,Rhodotorula mucilaginosa,48.050387943739885,11.021545045480355,20.0,0
12.0,20.0,Rhodotorula mucilaginosa,53.02795473962415,10.25290069301328,20.0,0
12.0,25.0,Rhodotorula mucilaginosa,57.18084359270476,9.009584110296014,20.0,0
12.0,30.0,Rhodotorula mucilaginosa,65.05177299562843,8.232843295284388,20.0,0
13.0,0.0,Rhodotorula mucilaginosa,11.021680035713247,9.842520967656252,20.0,1
13.0,5.0,Rhodotorula mucilaginosa,41.25598365040415,12.17672358401495,20.0,0
13.0,10.0,Rhodotorula mucilaginosa,43.45902969765543,11.094810981765233,20.0,0
13.0,15.0,Rhodotorula mucilaginosa,46.05578421897355,10.703422052770293,20.0,0
13.0,20.0,Rhodotorula mucilaginosa,50.21136547103555,9.241438084404262,20.0,0
13.0,25.0,Rhodotorula mucilaginosa,54.39490034674144,8.857118896729645,20.0,0
13.0,30.0,Rhodotorula mucilaginosa,58.3275170140665,7.078414996239833,20.0,0
14.0,0.0,Rhodotorula mucilaginosa,14.62981233666889,9.52489187288276,20.0,1
14.0,5.0,Rhodotorula mucilaginosa,35.46449209466668,11.969031501511505,20.0,0
14.0,10.0,Rhodotorula mucilaginosa,39.194639529334935,10.791342812202682,20.0,0
14.0,15.0,Rhodotorula mucilaginosa,40.00488999975423,8.994064659808664,20.0,0
14.0,20.0,Rhodotorula mucilaginosa,45.87286512265733,8.567244553819947,20.0,0
14.0,25.0,Rhodotorula mucilaginosa,49.78060855701261,7.326536833655179,20.0,0
14.0,30.0,Rhodotorula mucilaginosa,54.72907876277292,5.841586290365614,20.0,0
15.0,0.0,Rhodotorula mucilaginosa,22.18733618075343,9.910587689505299,20.0,1
15.0,5.0,Rhodotorula mucilaginosa,42.98622312945965,13.046019571461624,20.0,0
15.0,10.0,Rhodotorula mucilaginosa,46.73053313811837,12.111838608924618,20.0,0
15.0,15.0,Rhodotorula mucilaginosa,48.05838550051692,10.467213147305367,20.0,0
15.0,20.0,Rhodotorula mucilaginosa,51.334546707963874,9.557449508012159,20.0,0
15.0,25.0,Rhodotorula mucilaginosa,53.90834556991051,9.40899585896797,20.0,0
15.0,30.0,Rhodotorula mucilaginosa,46.50669673590093,7.276827019930449,20.0,0
16.0,0.0,Rhodotorula sp. clade XI,13.852743299504978,9.905526787948448,20.0,1
16.0,5.0,Rhodotorula sp. clade XI,37.73123103583616,10.77069016473494,20.0,0
16.0,10.0,Rhodotorula sp. clade XI,47.237812059815724,11.317082714589416,20.0,0
16.0,15.0,Rhodotorula sp. clade XI,49.959960372271745,9.30394644109866,20.0,0
16.0,20.0,Rhodotorula sp. clade XI,66.69914299807257,8.831324477031867,20.0,0
16.0,25.0,Rhodotorula sp. clade XI,72.5144344801066,8.156730317180202,20.0,0
16.0,30.0,Rhodotorula sp. clade XI,78.25219479073209,6.661744959929816,20.0,0
17.0,0.0,Rhodotorula diobovata,30.25606959473621,9.385630532862066,20.0,1
17.0,5.0,Rhodotorula diobovata,45.78159657450805,11.849524219117793,20.0,0
17.0,10.0,Rhodotorula diobovata,42.78105420349424,10.140249131952228,20.0,0
17.0,15.0,Rhodotorula diobovata,40.70362345268156,7.3289028712876245,20.0,0
17.0,20.0,Rhodotorula diobovata,14.809299502016323,6.670342786362378,20.0,1
17.0,25.0,Rhodotorula diobovata,306.6360562122694,3.90972703940118,19.0,1
17.0,30.0,Rhodotorula diobovata,279.3007162538348,2.6025926894709537,15.0,1
18.0,0.0,Rhodotorula mucilaginosa,24.228821770263647,9.497897111029335,20.0,1
18.0,5.0,Rhodotorula mucilaginosa,47.25763390604972,11.88634831151861,20.0,0
18.0,10.0,Rhodotorula mucilaginosa,47.80981890529407,9.957002834745392,20.0,0
18.0,15.0,Rhodotorula mucilaginosa,49.1594204752276,8.51254316125791,20.0,0
18.0,20.0,Rhodotorula mucilaginosa,54.1990535725654,7.204376956674262,20.0,0
18.0,25.0,Rhodotorula mucilaginosa,55.81565205427715,6.625415648796226,20.0,0
18.0,30.0,Rhodotorula mucilaginosa,43.27645235955181,3.684689845422661,15.0,0
19.0,0.0,Rhodotorula mucilaginosa,16.168023740874848,10.679554737869541,20.0,1
19.0,5.0,Rhodotorula mucilaginosa,39.03722874547634,11.900276630534801,20.0,0
19.0,10.0,Rhodotorula mucilaginosa,44.69402713668448,11.229531014220807,20.0,0
19.0,15.0,Rhodotorula mucilaginosa,44.443459869651015,10.434363135086384,20.0,0
19.0,20.0,Rhodotorula mucilaginosa,48.84866796153478,9.689530992960751,20.0,0
19.0,25.0,Rhodotorula mucilaginosa,54.52817442738611,8.932913590437657,20.0,0
19.0,30.0,Rhodotorula mucilaginosa,60.05307244713149,7.308077607587666,20.0,0
20.0,0.0,Rhodotorula mucilaginosa,26.136838362332426,8.552260548526617,20.0,1
20.0,5.0,Rhodotorula mucilaginosa,44.74581447968165,13.63066043898992,15.0,0
20.0,10.0,Rhodotorula mucilaginosa,46.86727008966591,12.091133837409636,15.0,0
20.0,15.0,Rhodotorula mucilaginosa,49.867745159951625,10.441961187324573,15.0,0
20.0,20.0,Rhodotorula mucilaginosa,52.85147904525289,7.0817043992108815,15.0,0
20.0,25.0,Rhodotorula mucilaginosa,40.86458262074344,6.617305231758779,20.0,0
20.0,30.0,Rhodotorula mucilaginosa,61.42457763970277,2.6929807695870664,15.0,0
21.0,0.0,Rhodotorula mucilaginosa,23.517347039516164,10.64289796577317,15.0,1
21.0,5.0,Rhodotorula mucilaginosa,38.83727456269045,12.109488831777412,15.0,0
21.0,10.0,Rhodotorula mucilaginosa,41.56000651584305,9.377283326909032,15.0,0
21.0,15.0,Rhodotorula mucilaginosa,46.45032659267632,8.176361906423988,15.0,0
21.0,20.0,Rhodotorula mucilaginosa,55.476089022349285,5.940197217530656,15.0,0
21.0,25.0,Rhodotorula mucilaginosa,61.55700742452867,5.755484180299877,15.0,0
21.0,30.0,Rhodotorula mucilaginosa,59.533553221847214,3.006888532411731,15.0,0
22.0,0.0,Rhodotorula mucilaginosa,14.60050242383832,8.752888893315975,20.0,1
22.0,5.0,Rhodotorula mucilaginosa,38.86777573621426,10.933952877891734,20.0,0
22.0,10.0,Rhodotorula mucilaginosa,42.870934548738575,10.2038401328094,20.0,0
22.0,15.0,Rhodotorula mucilaginosa,45.52352756555584,9.33872683065977,20.0,0
22.0,20.0,Rhodotorula mucilaginosa,51.561965881678205,7.9760841238697076,20.0,0
22.0,25.0,Rhodotorula mucilaginosa,57.95531205912559,7.16475883121444,20.0,0
22.0,30.0,Rhodotorula mucilaginosa,59.10708826779974,4.8827034413146295,20.0,0
23.0,0.0,Rhodotorula mucilaginosa,25.620351921397244,6.22709805125651,10.0,1
23.0,15.0,Rhodotorula mucilaginosa,27.450934580793078,7.099455128251057,10.0,1
24.0,0.0,Rhodotorula mucilaginosa,15.23462649396939,10.414801839626637,20.0,1
24.0,5.0,Rhodotorula mucilaginosa,38.81916516116001,12.672205294558147,20.0,0
24.0,10.0,Rhodotorula mucilaginosa,43.661655505810906,11.374348691647022,20.0,0
24.0,15.0,Rhodotorula mucilaginosa,45.07128598561119,10.572911015547422,20.0,0
24.0,20.0,Rhodotorula mucilaginosa,48.4489973476575,9.350167171017922,20.0,0
24.0,25.0,Rhodotorula mucilaginosa,51.31973860166968,7.91247294387469,20.0,0
24.0,30.0,Rhodotorula mucilaginosa,61.718691411229884,6.377622150108584,20.0,0
25.0,0.0,Rhodotorula mucilaginosa,8.28974618131151,9.771105911406043,20.0,1
25.0,5.0,Rhodotorula mucilaginosa,35.41481856208439,11.888054079601782,20.0,0
25.0,10.0,Rhodotorula mucilaginosa,41.159613317303524,11.150166478570746,20.0,0
25.0,15.0,Rhodotorula mucilaginosa,38.01996210294725,10.257039097361204,20.0,0
25.0,20.0,Rhodotorula mucilaginosa,43.43213152152457,8.981275533720162,15.0,0
25.0,25.0,Rhodotorula mucilaginosa,45.52306453385916,7.323038673491428,15.0,0
25.0,30.0,Rhodotorula mucilaginosa,53.520781320592874,5.466325357407129,15.0,0
26.0,0.0,Rhodotorula mucilaginosa,11.257759113328301,9.96944262478829,20.0,1
26.0,5.0,Rhodotorula mucilaginosa,35.471857468194706,11.94604002903911,20.0,0
26.0,10.0,Rhodotorula mucilaginosa,38.4427287580571,10.702766706192106,20.0,0
26.0,15.0,Rhodotorula mucilaginosa,40.48797034666283,10.30496165938563,20.0,0
26.0,20.0,Rhodotorula mucilaginosa,42.36758181426029,8.99921069549366,20.0,0
26.0,25.0,Rhodotorula mucilaginosa,43.92830222003264,7.745053840049927,20.0,0
26.0,30.0,Rhodotorula mucilaginosa,49.89260262315331,6.082950429188074,20.0,0
27.0,0.0,Rhodotorula mucilaginosa,16.141808008905066,9.324793918961642,20.0,1
27.0,5.0,Rhodotorula mucilaginosa,39.772373742417486,12.376998679065196,20.0,0
27.0,10.0,Rhodotorula mucilaginosa,42.14801996346589,10.82011258078979,20.0,0
27.0,15.0,Rhodotorula mucilaginosa,44.79523204260777,10.09273832073146,20.0,0
27.0,20.0,Rhodotorula mucilaginosa,47.285388595789904,8.585016734672527,20.0,0
27.0,25.0,Rhodotorula mucilaginosa,49.76659815544644,8.326534160309956,20.0,0
27.0,30.0,Rhodotorula mucilaginosa,46.83815774755626,6.774852977682208,20.0,0
28.0,0.0,Rhodotorula pacifica,18.163255225348443,9.297155556401073,20.0,1
28.0,5.0,Rhodotorula pacifica,39.30466182347369,11.728596723702452,20.0,0
28.0,10.0,Rhodotorula pacifica,46.42046955872013,10.62112409405865,20.0,0
28.0,15.0,Rhodotorula pacifica,45.28638192988472,9.89317006676778,20.0,0
28.0,20.0,Rhodotorula pacifica,51.758243802335556,8.57658391822639,20.0,0
28.0,25.0,Rhodotorula pacifica,60.70216900537707,8.166239515903108,20.0,0
28.0,30.0,Rhodotorula pacifica,70.88885010363879,7.270567618908828,20.0,0
29.0,0.0,Rhodotorula mucilaginosa,4.3683936169334086,6.985148272027935,20.0,1
29.0,5.0,Rhodotorula mucilaginosa,37.9549887067458,9.007750658966,15.0,0
29.0,10.0,Rhodotorula mucilaginosa,29.909654380329687,6.57025517926769,20.0,1
29.0,15.0,Rhodotorula mucilaginosa,29.767682313022163,7.154853476866256,20.0,1
29.0,20.0,Rhodotorula mucilaginosa,50.421015676848455,7.310778132168004,15.0,0
29.0,25.0,Rhodotorula mucilaginosa,58.36588613584938,6.6769763089377205,15.0,0
29.0,30.0,Rhodotorula mucilaginosa,69.16868667966908,5.743373986702126,15.0,0
30.0,0.0,Rhodotorula mucilaginosa,24.26416354046954,12.13319995282131,20.0,1
30.0,5.0,Rhodotorula mucilaginosa,38.6497494587719,13.13274119241942,20.0,0
30.0,10.0,Rhodotorula mucilaginosa,42.09211072833745,10.824057101694988,20.0,0
30.0,15.0,Rhodotorula mucilaginosa,43.92129809586898,9.619076625647608,20.0,0
30.0,20.0,Rhodotorula mucilaginosa,50.336613932680116,7.275361576002396,20.0,0
30.0,25.0,Rhodotorula mucilaginosa,54.839432861616565,5.385366479889926,20.0,0
30.0,30.0,Rhodotorula mucilaginosa,56.19588865310517,2.231342928723377,20.0,0
31.0,0.0,Rhodotorula mucilaginosa,24.07492826041547,11.412136608155432,20.0,1
31.0,5.0,Rhodotorula mucilaginosa,37.117320051791744,12.336805064116913,20.0,0
31.0,10.0,Rhodotorula mucilaginosa,38.901275092839114,10.980871610715308,20.0,0
31.0,15.0,Rhodotorula mucilaginosa,36.83810780347891,8.503124521210175,20.0,0
31.0,20.0,Rhodotorula mucilaginosa,35.818779145953506,7.319082390122405,20.0,0
