strain_id,species,pace_loglog
5.0,Rhodotorula mucilaginosa,0.13502733681625334
5.0,Rhodotorula mucilaginosa,0.13502733681625334
5.0,Rhodotorula mucilaginosa,0.13502733681625334
5.0,Rhodotorula mucilaginosa,0.13502733681625334
5.0,Rhodotorula mucilaginosa,0.35637077653726995
5.0,Rhodotorula mucilaginosa,0.35006168833569423
5.0,Rhodotorula mucilaginosa,0.2754332855835466
5.0,Rhodotorula mucilaginosa,0.3522933865012411
5.0,Rhodotorula mucilaginosa,-0.07866384311100232
5.0,Rhodotorula mucilaginosa,-0.07866384311100232
5.0,Rhodotorula mucilaginosa,-0.07866384311100232
5.0,Rhodotorula mucilaginosa,0.4022925004580607
5.0,Rhodotorula mucilaginosa,0.3110424086133304
5.0,Rhodotorula mucilaginosa,0.39921856198925376
5.0,Rhodotorula mucilaginosa,0.2477216992387633
5.0,Rhodotorula mucilaginosa,0.39921856198925376
5.0,Rhodotorula mucilaginosa,0.39921856198925376
5.0,Rhodotorula mucilaginosa,0.39921856198925376
6.0,Rhodotorula mucilaginosa,0.2201387047145989
6.0,Rhodotorula mucilaginosa,0.2201387047145989
6.0,Rhodotorula mucilaginosa,-0.908900418764316
6.0,Rhodotorula mucilaginosa,-0.908900418764316
6.0,Rhodotorula mucilaginosa,-0.908900418764316
6.0,Rhodotorula mucilaginosa,-0.908900418764316
6.0,Rhodotorula mucilaginosa,-0.908900418764316
6.0,Rhodotorula mucilaginosa,0.3328814795983376
6.0,Rhodotorula mucilaginosa,1.3980802240074628
6.0,Rhodotorula mucilaginosa,1.3980802240074628
6.0,Rhodotorula mucilaginosa,1.3980802240074628
6.0,Rhodotorula mucilaginosa,1.3980802240074628
6.0,Rhodotorula mucilaginosa,1.3980802240074628
6.0,Rhodotorula mucilaginosa,1.3980802240074628
6.0,Rhodotorula mucilaginosa,0.33574905270787925
6.0,Rhodotorula mucilaginosa,0.5466741913006593
6.0,Rhodotorula mucilaginosa,0.41551716933950156
6.0,Rhodotorula mucilaginosa,0.41551716933950156
6.0,Rhodotorula mucilaginosa,0.41551716933950156
6.0,Rhodotorula mucilaginosa,0.41551716933950156
6.0,Rhodotorula mucilaginosa,0.46702083809009687
6.0,Rhodotorula mucilaginosa,0.46702083809009687
6.0,Rhodotorula mucilaginosa,0.7478012707240019
6.0,Rhodotorula mucilaginosa,0.7478012707240019
6.0,Rhodotorula mucilaginosa,0.7478012707240019
6.0,Rhodotorula mucilaginosa,0.7478012707240019
6.0,Rhodotorula mucilaginosa,0.7478012707240019
7.0,Rhodotorula mucilaginosa,0.2946786101184068
7.0,Rhodotorula mucilaginosa,0.30090636732029563
7.0,Rhodotorula mucilaginosa,0.10035508884375337
7.0,Rhodotorula mucilaginosa,0.10035508884375337
7.0,Rhodotorula mucilaginosa,0.10035508884375337
7.0,Rhodotorula mucilaginosa,0.10035508884375337
